column,q1,median,q3,lower_limit,upper_limit,min_value,max_value,outlier_count,outlier_pct
annual_income,612107.65,874386.72,1236603.08,-324635.49,2173346.21,180000.0,7701302.64,494,4.15
total_deposit_balance,1469987.28,2352189.4,3789238.84,-2008890.06,7268116.18,270313.59,25447052.25,676,5.68
loan_amount,412325.52,1242368.33,2969437.58,-3423342.58,6805105.68,47812.4,18000000.0,548,4.6
credit_score,645.0,674.0,702.0,559.5,787.5,540.0,826.0,73,0.61
debt_to_income_ratio,0.41,0.57,0.74,-0.09,1.24,0.05,1.35,140,1.18
expected_loss_amount,9162.55,39994.74,162308.61,-220556.53,392027.69,432.06,6681004.38,1376,11.55
