financial_variable,mean,median,mean_minus_median,skewness,q1,q3,iqr,lower_iqr_boundary,upper_iqr_boundary,potential_outlier_count,potential_outlier_percentage
estimated_income,171305.03426333333,142313.47999999998,28991.554263333353,0.8761501997354387,82906.595,242290.305,159383.71,-156168.97,481365.87,26,0.8666666666666666
superannuation_savings,25531.59967333333,22357.355000000003,3174.2446733333272,0.7110060989591632,12513.775,35464.74,22950.964999999997,-21912.672499999993,69891.1875,19,0.6333333333333333
credit_card_balance,3176.2069433333336,2560.8050000000003,615.4019433333333,1.1302959985649008,1236.63,4522.6325,3286.0024999999996,-3692.3737499999997,9451.63625,85,2.833333333333333
bank_loans,591386.1554866667,479793.4,111592.75548666669,1.1841838493934895,239628.1375,825813.0375000001,586184.9000000001,-639649.2125000001,1705090.3875000002,85,2.833333333333333
bank_deposits,671560.1939233334,463316.46,208243.7339233334,1.7060300299038218,204400.375,942754.63,738354.255,-903131.0075000001,2050286.0125000002,149,4.966666666666667
checking_accounts,321092.94912666664,242815.655,78277.29412666665,1.7318544568687029,119947.53,434874.9375,314927.4075,-352443.58124999993,907266.04875,138,4.6
saving_accounts,232908.3534833333,164086.555,68821.79848333332,2.192834132790131,74794.405,315575.0025,240780.5975,-286376.49124999996,676745.8987499999,155,5.166666666666667
foreign_currency_account,29883.529993333334,24341.190000000002,5542.339993333331,1.1221933682577885,11916.5425,41966.3925,30049.850000000002,-33158.2325,87041.16750000001,79,2.6333333333333333
business_lending,866759.8084066667,711314.6599999999,155445.14840666682,1.1527689364495253,374825.1375,1185110.075,810284.9375,-840602.26875,2400537.48125,93,3.1
